pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
G 192-15 b,,,453.6,7.06,2.27476,0.01723,M5.0 V,0.132,,,
G 192-15 c,,,55.9,0.0016,1219,1.137,M5.0 V,0.132,,,
G 196-3 b,,8263.538582,1670,,,350,,,,,
G 261-6 b,,,322.3,1.8,5.4536,0.02971,M5.5 V,0.118,,,
G 264-012 b,,,587,20.5,2.30538,0.02279,M4.0 V,0.297,-1.97224,0.305,3326
G 264-012 c,,,387,3.87,8.0518,0.0525,M4.0 V,0.297,-1.97224,0.305,3326
G 268-110 b,,,534,13.57,1.43263,0.01283,M5.0 V,0.137,,,
G 9-40 b,,,,,5.745912,,,,,0.307,3390
GJ 1002 b,,,230.9,0.67,10.3465,0.0457,M5.5 V,0.12,-2.85201,0.137,3024
GJ 1002 c,,,181.7,0.257,21.202,0.0738,M5.5 V,0.12,-2.85201,0.137,3024
GJ 1061 b,,,,3.8,3.204,0.021,M5.5 V,0.12,-2.76955,0.156,2953
GJ 1061 c,,,,1.4,6.689,0.035,M5.5 V,0.12,-2.76955,0.156,2953
GJ 1061 d,,,,0.6,13.031,0.054,M5.5 V,0.12,-2.76955,0.156,2953
GJ 1132 b,,1.58,,,,,,,,,
GJ 1132 c,,,300,,8.929,0.0476,,0.181,-2.35853,0.2105,3270
GJ 1148 b,,,,,41.397,0.163506,,0.344045,-1.86908,0.358519,3287
GJ 1148 c,,,,,535.9,0.9302,,0.373585,,0.36664,3357.57
GJ 1151 c,,,,,389.7,0.5714,M 4.5V,0.1639,-2.47952,0.1781,3280
GJ 1214 b,,,,,1.58040481,,,,,0.21,3026
GJ 1252 b,1.193,1.32,,,0.5182331,,M3,0.381,-1.70774,0.391,3458
GJ 1265 b,,,,,3.6511,0.026,M4.5 V,0.178,-2.4389,0.192,3236
GJ 1289 b,,,150,,111.74,0.27,M4.5 Ve,0.21,,,3296
GJ 143 b,3.12194,,505,10.8612,35.6134391,,,,,0.71,4628.53
GJ 15 A b,,,550,,11.4433,0.0717,M2 V,0.375,-1.663,0.3863,3567
GJ 15 A c,,,,,7600,5.4,M1,0.38,-1.655,0.38,3607
GJ 160.2 b,,,,,5.2354,0.053,M0 V,0.69,-0.79588,,4347
GJ 163 b,,,,,8.63182,0.0607,,,,,
GJ 163 c,,,,,25.63058,0.1254,,,,,
GJ 163 d,,,,,603.95116,1.0304,,,,,
GJ 179 b,,301.9369867,,,2303,2.424,M2 V,0.357,,,3370
GJ 180 b,,,,,17.38,0.103,M2 V,0.43,-1.88606,,3371
GJ 180 c,,,,,24.329,0.129,M2 V,0.43,-1.88606,,3371
GJ 180 d,,,,,106.3,0.309,,0.43,,,
GJ 2030 b,,,,,2.38129,0.034,,0.96,,,
GJ 2030 c,,4069.157095,,,25533.11353,16.761,,0.96,,,
GJ 2056 b,,,,,69.971,0.283,,0.62,,,
GJ 2126 b,,,,,272.7,0.71,M0 V,0.65,-0.84527,0.728,4159
GJ 229 A c,,,,,121.93268,0.384,,0.509,,,
GJ 229 b,,,,,526.115,0.898,,0.58,,,
GJ 238 b,0.566,,758,,1.7446999,0.02123,M2.5 V,0.4193,-1.61618,0.4314,3485
GJ 251 b,,,351,2.53,14.238,0.0818,M3.0 V,0.36,-1.77211,0.364,3451
GJ 27.1 b,,,,,15.819,0.101,M0.5 V,0.53,-1.58503,,3542
GJ 273 b,,,,1.06,18.6498,0.091101,M3.5,0.29,-2.05552,0.293,3382
GJ 273 c,,,,6.66,4.7234,0.036467,M3.5,0.29,-2.05552,0.293,3382
GJ 3021 b,,,350,,133.71,0.49,G6 V,0.9,-0.18,0.9,5540
GJ 3082 b,,,,,11.949,0.079,,0.47,,,
GJ 3090 b,2.02068,,610,23.0419,2.8531016,,,,,0.52,3703
GJ 3138 b,,,,118.1,1.22003,0.0197,M0,0.681,-1.34679,0.5,3717
GJ 3138 c,,,,13.9,5.974,0.057,M0,0.681,-1.34679,0.5,3717
GJ 3138 d,,,,0.1,257.8,0.698,M0,0.681,-1.34679,0.5,3717
GJ 317 b,,794.5,,,692,1.15,M2.5 V,0.42,,,3510
GJ 317 c,,,,,5312,,,0.24,,,
GJ 3222 b,,,,,10.66669,0.091,,0.89,,,
GJ 328 b,,,,,3771,4.11,M0.0,0.65,-1.08,0.63,3897
GJ 328 c,,,,,241.8,0.657,M0.0,0.65,-1.08,0.63,3897
GJ 3293 b,,,,1.07,30.5987,0.14339,M2.5,0.42,-1.65758,0.404,3466
